Time,Temperature,SootA,Co2,
29-8-2015T13-19-39,25.469999,27.745892,1425.660034,
29-8-2015T13-19-40,25.469999,27.735323,1425.660034,
29-8-2015T13-19-41,25.469999,27.725811,1424.959961,
29-8-2015T13-19-42,25.469999,27.717251,1424.959961,
29-8-2015T13-19-43,25.469999,27.730257,1421.939941,
29-8-2015T13-19-44,25.469999,27.623056,1421.939941,
29-8-2015T13-19-45,25.469999,27.557262,1420.949951,
29-8-2015T13-19-46,25.469999,27.498047,1420.949951,
29-8-2015T13-19-47,25.469999,27.444752,1420.810059,
29-8-2015T13-19-48,25.469999,27.396786,1420.810059,
29-8-2015T13-19-49,25.469999,27.3237,1417.180054,
29-8-2015T13-19-50,25.469999,27.313156,1417.180054,
29-8-2015T13-19-51,25.469999,27.253036,1417.030029,
29-8-2015T13-19-52,25.469999,27.198929,1417.030029,
29-8-2015T13-19-53,25.469999,27.15023,1417.040039,
29-8-2015T13-19-54,25.469999,27.106403,1417.040039,
29-8-2015T13-19-55,25.469999,27.025532,1416.75,
29-8-2015T13-19-56,25.469999,27.031763,1416.75,
29-8-2015T13-19-57,25.469999,27.102579,1417.689941,
29-8-2015T13-19-58,25.469999,27.166313,1417.689941,
29-8-2015T13-19-59,25.469999,27.223673,1418.910034,
29-8-2015T13-20-00,25.469999,27.275297,1418.910034,
29-8-2015T13-20-01,25.469999,27.373926,1412.97998,
29-8-2015T13-20-02,25.469999,27.497213,1412.97998,
29-8-2015T13-20-03,25.469999,27.582857,1411.410034,
29-8-2015T13-20-04,25.469999,27.659937,1411.410034,
29-8-2015T13-20-05,25.469999,27.729307,1411.040039,
29-8-2015T13-20-06,25.469999,27.79174,1411.040039,
29-8-2015T13-20-07,25.469999,27.897795,1411.380005,
29-8-2015T13-20-08,25.469999,27.978668,1411.380005,
29-8-2015T13-20-09,25.469999,28.006193,1412.300049,
29-8-2015T13-20-10,25.469999,28.030966,1412.300049,
29-8-2015T13-20-11,25.469999,28.053261,1412.119995,
29-8-2015T13-20-12,25.469999,28.073326,1412.119995,
29-8-2015T13-20-13,25.469999,28.079878,1418.329956,
29-8-2015T13-20-14,25.469999,28.151749,1418.329956,
29-8-2015T13-20-15,25.469999,28.24098,1419.219971,
29-8-2015T13-20-16,25.469999,28.321289,1419.219971,
29-8-2015T13-20-17,25.469999,28.393566,1415.98999,
29-8-2015T13-20-18,25.469999,28.458616,1415.98999,
29-8-2015T13-20-19,25.469999,28.497217,1411.579956,
29-8-2015T13-20-20,25.469999,28.448338,1411.579956,
29-8-2015T13-20-21,25.469999,28.441168,1412.319946,
29-8-2015T13-20-22,25.469999,28.434715,1412.319946,
29-8-2015T13-20-23,25.469999,28.428909,1412.77002,
29-8-2015T13-20-24,25.469999,28.423683,1412.77002,
29-8-2015T13-20-25,25.469999,28.301607,1411.390015,
29-8-2015T13-20-26,25.469999,28.219355,1411.390015,
29-8-2015T13-20-27,25.469999,28.177549,1414.170044,
29-8-2015T13-20-28,25.469999,28.139925,1414.170044,
29-8-2015T13-20-29,25.469999,28.106062,1414.930054,
29-8-2015T13-20-30,25.469999,28.075586,1414.930054,
29-8-2015T13-20-31,25.469999,28.196217,1414.130005,
29-8-2015T13-20-32,25.469999,28.261057,1414.130005,
29-8-2015T13-20-33,25.469999,28.257273,1415.650024,
29-8-2015T13-20-34,25.469999,28.253868,1415.650024,
29-8-2015T13-20-35,25.469999,28.250803,1414.579956,
29-8-2015T13-20-36,25.469999,28.248045,1414.579956,
29-8-2015T13-20-37,25.469999,28.252468,1408.530029,
29-8-2015T13-20-38,25.469999,28.337,1408.530029,
29-8-2015T13-20-39,25.469999,28.397734,1412.349976,
29-8-2015T13-20-40,25.469999,28.452394,1412.349976,
29-8-2015T13-20-41,25.469999,28.501589,1418.040039,
29-8-2015T13-20-42,25.469999,28.545864,1418.040039,
29-8-2015T13-20-43,25.469999,28.49979,1418.930054,
29-8-2015T13-20-44,25.469999,28.432243,1418.930054,
29-8-2015T13-20-45,25.469999,28.388327,1418.380005,
29-8-2015T13-20-46,25.469999,28.348803,1418.380005,
29-8-2015T13-20-47,25.469999,28.313231,1418.069946,
29-8-2015T13-20-48,25.469999,28.281216,1418.069946,
29-8-2015T13-20-49,25.469999,28.29306,1412.699951,
29-8-2015T13-20-50,25.469999,28.29298,1412.699951,
29-8-2015T13-20-51,25.469999,28.220798,1411.560059,
29-8-2015T13-20-52,25.469999,28.155834,1411.560059,
29-8-2015T13-20-53,25.469999,28.097366,1407.310059,
29-8-2015T13-20-54,25.469999,28.044744,1407.310059,
29-8-2015T13-20-55,25.469999,28.042646,1407.069946,
29-8-2015T13-20-56,25.469999,27.990894,1407.069946,
29-8-2015T13-20-57,25.469999,27.974237,1406.849976,
29-8-2015T13-20-58,25.469999,27.959246,1406.849976,
29-8-2015T13-20-59,25.469999,27.945753,1406.349976,
29-8-2015T13-21-00,25.469999,27.933609,1406.349976,
29-8-2015T13-21-01,25.469999,27.875116,1406.109985,
29-8-2015T13-21-02,25.469999,27.754198,1406.109985,
29-8-2015T13-21-03,25.469999,27.630028,1408.160034,
29-8-2015T13-21-04,25.469999,27.518272,1408.160034,
29-8-2015T13-21-05,25.469999,27.417694,1412.880005,
29-8-2015T13-21-06,25.469999,27.327175,1412.880005,
29-8-2015T13-21-07,25.469999,27.200445,1414.0,
29-8-2015T13-21-08,25.469999,27.248257,1414.0,
29-8-2015T13-21-09,25.469999,27.23912,1415.290039,
29-8-2015T13-21-10,25.469999,27.231308499999997,1415.1100465,
29-8-2015T13-21-11,25.469999,27.223497,1414.930054,
29-8-2015T13-21-12,25.469999,27.216837,1414.930054,
29-8-2015T13-21-13,25.469999,27.259941,1418.939941,
29-8-2015T13-21-14,25.469999,27.213581,1418.939941,
29-8-2015T13-21-15,25.469999,27.306107,1417.51001,
29-8-2015T13-21-16,25.469999,27.36654275,1418.337509375,
29-8-2015T13-21-17,25.469999,27.4269785,1419.16500875,
29-8-2015T13-21-18,25.469999,27.48741425,1419.9925081249999,
29-8-2015T13-21-19,25.469999,27.54785,1420.8200075,
29-8-2015T13-21-20,25.469999,27.60828575,1421.647506875,
29-8-2015T13-21-21,25.469999,27.6687215,1422.47500625,
29-8-2015T13-21-22,25.469999,27.72915725,1423.3025056249999,
29-8-2015T13-21-23,25.469999,27.789593,1424.130005,
29-8-2015T13-21-24,25.469999,27.801504,1424.130005,
29-8-2015T13-21-25,25.469999,27.820662,1422.060059,
29-8-2015T13-21-26,25.469999,27.771931,1422.060059,
29-8-2015T13-21-27,25.469999,27.708893,1420.560059,
29-8-2015T13-21-28,25.469999,27.652159,1420.560059,
29-8-2015T13-21-29,25.469999,27.601097,1420.300049,
29-8-2015T13-21-30,25.469999,27.555141,1420.300049,
29-8-2015T13-21-31,25.469999,27.417891,1420.48999,
29-8-2015T13-21-32,25.469999,27.45393,1420.48999,
29-8-2015T13-21-33,25.469999,27.466419,1420.050049,
29-8-2015T13-21-34,25.469999,27.477659,1420.050049,
29-8-2015T13-21-35,25.469999,27.487776,1422.810059,
29-8-2015T13-21-36,25.469999,27.496881,1422.810059,
29-8-2015T13-21-37,25.469999,27.604805,1422.619995,
29-8-2015T13-21-38,25.469999,27.60681,1422.619995,
29-8-2015T13-21-39,25.469999,27.606312,1423.810059,
29-8-2015T13-21-40,25.469999,27.605865,1423.810059,
29-8-2015T13-21-41,25.469999,27.605461,1421.349976,
29-8-2015T13-21-42,25.469999,27.605099,1421.349976,
29-8-2015T13-21-43,25.469999,27.541866,1420.469971,
29-8-2015T13-21-44,25.469999,27.526384,1420.469971,
29-8-2015T13-21-45,25.469999,27.512449,1419.369995,
29-8-2015T13-21-46,25.469999,27.499908,1419.369995,
29-8-2015T13-21-47,25.469999,27.488621,1419.930054,
29-8-2015T13-21-48,25.469999,27.478462,1419.930054,
29-8-2015T13-21-49,25.469999,27.517651,1421.219971,
29-8-2015T13-21-50,25.469999,27.579002,1421.219971,
29-8-2015T13-21-51,25.469999,27.714003,1419.050049,
29-8-2015T13-21-52,25.469999,27.835503,1419.050049,
29-8-2015T13-21-53,25.469999,27.944853,1419.939941,
29-8-2015T13-21-54,25.469999,28.043268,1419.939941,
29-8-2015T13-21-55,25.469999,28.091183,1424.189941,
29-8-2015T13-21-56,25.469999,28.069866,1424.189941,
29-8-2015T13-21-57,25.469999,28.023064,1425.47998,
29-8-2015T13-21-58,25.469999,27.980942,1425.47998,
29-8-2015T13-21-59,25.469999,27.943031,1423.439941,
29-8-2015T13-22-00,25.469999,27.908913,1423.439941,
29-8-2015T13-22-01,25.469999,27.856726,1423.859985,
29-8-2015T13-22-02,25.469999,27.789043,1423.859985,
29-8-2015T13-22-03,25.469999,27.824789,1423.599976,
29-8-2015T13-22-04,25.469999,27.85696,1423.599976,
29-8-2015T13-22-05,25.469999,27.885916,1414.430054,
29-8-2015T13-22-06,25.469999,27.911976,1414.430054,
29-8-2015T13-22-07,25.469999,27.989128,1414.540039,
29-8-2015T13-22-08,25.469999,28.015606,1414.540039,
29-8-2015T13-22-09,25.469999,28.00108,1419.099976,
29-8-2015T13-22-10,25.469999,27.988007,1419.099976,
29-8-2015T13-22-11,25.469999,27.97624,1415.75,
29-8-2015T13-22-12,25.469999,27.965651,1415.75,
29-8-2015T13-22-13,25.469999,27.890911,1414.849976,
29-8-2015T13-22-14,25.469999,27.925678,1414.849976,
29-8-2015T13-22-15,25.469999,27.909405,1414.589966,
29-8-2015T13-22-16,25.469999,27.894758,1414.589966,
29-8-2015T13-22-17,25.469999,27.881577,1414.73999,
29-8-2015T13-22-18,25.469999,27.869713,1414.73999,
29-8-2015T13-22-19,25.469999,27.841391,1418.650024,
29-8-2015T13-22-20,25.469999,27.814367,1418.650024,
29-8-2015T13-22-21,25.469999,27.846815,1416.670044,
29-8-2015T13-22-22,25.469999,27.876019,1416.670044,
29-8-2015T13-22-23,25.469999,27.9023,1416.170044,
29-8-2015T13-22-24,25.469999,27.925955,1416.170044,
29-8-2015T13-22-25,25.469999,28.039299,1415.939941,
29-8-2015T13-22-26,25.469999,28.111393,1415.939941,
29-8-2015T13-22-27,25.469999,28.106466,1413.23999,
29-8-2015T13-22-28,25.469999,28.102032,1413.23999,
29-8-2015T13-22-29,25.469999,28.098042,1410.209961,
29-8-2015T13-22-30,25.469999,28.09445,1410.209961,
29-8-2015T13-22-31,25.469999,28.03368,1410.72998,
29-8-2015T13-22-32,25.469999,27.968248,1410.72998,
29-8-2015T13-22-33,25.469999,27.900921,1411.550049,
29-8-2015T13-22-34,25.469999,27.840326,1411.550049,
29-8-2015T13-22-35,25.469999,27.785791,1415.02002,
29-8-2015T13-22-36,25.469999,27.73671,1415.02002,
29-8-2015T13-22-37,25.469999,27.6887,1412.119995,
29-8-2015T13-22-38,25.469999,27.699192,1412.119995,
29-8-2015T13-22-39,25.469999,27.760033,1414.150024,
29-8-2015T13-22-40,25.469999,27.814789,1414.150024,
29-8-2015T13-22-41,25.469999,27.864071,1412.699951,
29-8-2015T13-22-42,25.469999,27.908424,1412.699951,
29-8-2015T13-22-43,25.469999,27.983631,1412.959961,
29-8-2015T13-22-44,25.469999,28.0797,1412.959961,
29-8-2015T13-22-45,25.469999,28.128574,1411.969971,
29-8-2015T13-22-46,25.469999,28.17256,1411.969971,
29-8-2015T13-22-47,25.469999,28.212147,1409.069946,
29-8-2015T13-22-48,25.469999,28.247776,1409.069946,
29-8-2015T13-22-49,25.469999,28.238417,1408.869995,
29-8-2015T13-22-50,25.469999,28.081934,1408.869995,
29-8-2015T13-22-51,25.469999,28.020117,1408.689941,
29-8-2015T13-22-52,25.469999,27.964481,1408.689941,
29-8-2015T13-22-53,25.469999,27.914408,1407.550049,
29-8-2015T13-22-54,25.469999,27.869343,1407.550049,
29-8-2015T13-22-55,25.469999,27.875578,1416.890015,
29-8-2015T13-22-56,25.469999,27.93259,1416.890015,
29-8-2015T13-22-57,25.469999,27.930201,1429.540039,
29-8-2015T13-22-58,25.469999,27.928051,1429.540039,
29-8-2015T13-22-59,25.469999,27.926115,1428.390015,
29-8-2015T13-23-00,25.469999,27.924374,1428.390015,
29-8-2015T13-23-01,25.469999,27.8599,1428.819946,
29-8-2015T13-23-02,25.469999,27.780394,1428.819946,
29-8-2015T13-23-03,25.469999,27.720345,1427.569946,
29-8-2015T13-23-04,25.469999,27.6663,1427.569946,
29-8-2015T13-23-05,25.469999,27.617661,1421.079956,
29-8-2015T13-23-06,25.469999,27.573885,1421.079956,
29-8-2015T13-23-07,25.469999,27.550598,1420.380005,
29-8-2015T13-23-08,25.469999,27.487446,1420.380005,
29-8-2015T13-23-09,25.469999,27.393787,1420.689941,
29-8-2015T13-23-10,25.469999,27.309494,1420.689941,
29-8-2015T13-23-11,25.469999,27.233631,1428.800049,
29-8-2015T13-23-12,25.469999,27.165354,1428.800049,
29-8-2015T13-23-13,25.469999,27.092396,1428.51001,
29-8-2015T13-23-14,25.469999,27.268385,1428.51001,
29-8-2015T13-23-15,25.469999,27.384583,1427.219971,
29-8-2015T13-23-16,25.469999,27.489161,1427.219971,
29-8-2015T13-23-17,25.469999,27.583281,1431.930054,
29-8-2015T13-23-18,25.469999,27.667988,1431.930054,
29-8-2015T13-23-19,25.469999,27.738087,1431.300049,
29-8-2015T13-23-20,25.469999,27.569498,1431.300049,
29-8-2015T13-23-21,25.469999,27.502155,1430.800049,
29-8-2015T13-23-22,25.469999,27.441547,1430.800049,
29-8-2015T13-23-23,25.469999,27.386999,1429.97998,
29-8-2015T13-23-24,25.469999,27.337906,1429.97998,
29-8-2015T13-23-25,25.469999,27.356628,1430.810059,
29-8-2015T13-23-26,25.469999,27.3488155,1429.805054,
29-8-2015T13-23-27,25.469999,27.341003,1428.800049,
29-8-2015T13-23-28,25.469999,27.317989,1428.800049,
29-8-2015T13-23-29,25.469999,27.297276,1429.680054,
29-8-2015T13-23-30,25.469999,27.278633,1429.680054,
29-8-2015T13-23-31,25.469999,27.22043,1430.689941,
29-8-2015T13-23-32,25.469999,27.22682825,1429.062453875,
29-8-2015T13-23-33,25.469999,27.2332265,1427.43496675,
29-8-2015T13-23-34,25.469999,27.23962475,1425.807479625,
29-8-2015T13-23-35,25.469999,27.246023,1424.1799925,
29-8-2015T13-23-36,25.469999,27.25242125,1422.552505375,
29-8-2015T13-23-37,25.469999,27.2588195,1420.92501825,
29-8-2015T13-23-38,25.469999,27.26521775,1419.297531125,
29-8-2015T13-23-39,25.469999,27.271616,1417.670044,
29-8-2015T13-23-40,25.469999,27.281624,1417.670044,
29-8-2015T13-23-41,25.469999,27.29063,1421.72998,
29-8-2015T13-23-42,25.469999,27.298737,1421.72998,
29-8-2015T13-23-43,25.469999,27.240059,1422.329956,
29-8-2015T13-23-44,25.469999,27.306156,1422.329956,
29-8-2015T13-23-45,25.469999,27.247503,1419.060059,
29-8-2015T13-23-46,25.469999,27.194715,1419.060059,
29-8-2015T13-23-47,25.469999,27.147205,1418.619995,
29-8-2015T13-23-48,25.469999,27.104446,1418.619995,
29-8-2015T13-23-49,25.469999,27.10202,1417.069946,
29-8-2015T13-23-50,25.469999,27.02619,1417.069946,
29-8-2015T13-23-51,25.469999,27.030823,1415.170044,
29-8-2015T13-23-52,25.469999,27.034992,1415.170044,
29-8-2015T13-23-53,25.469999,27.038744,1419.829956,
29-8-2015T13-23-54,25.469999,27.042122,1419.829956,
29-8-2015T13-23-55,25.469999,27.026749,1417.109985,
29-8-2015T13-23-56,25.469999,27.074286,1417.109985,
29-8-2015T13-23-57,25.469999,27.096354,1416.069946,
29-8-2015T13-23-58,25.469999,27.116215,1416.069946,
29-8-2015T13-23-59,25.469999,27.13409,1422.0,
29-8-2015T13-24-00,25.469999,27.150179,1422.0,
29-8-2015T13-24-01,25.469999,27.218359,1421.660034,
29-8-2015T13-24-02,25.469999,27.340326,1421.660034,
29-8-2015T13-24-03,25.469999,27.401766,1422.969971,
29-8-2015T13-24-04,25.469999,27.457062,1422.969971,
29-8-2015T13-24-05,25.469999,27.506828,1421.22998,
29-8-2015T13-24-06,25.469999,27.551619,1421.22998,
29-8-2015T13-24-07,25.469999,27.593462,1421.469971,
29-8-2015T13-24-08,25.469999,27.510681,1421.469971,
29-8-2015T13-24-09,25.469999,27.421604,1423.22998,
29-8-2015T13-24-10,25.469999,27.341434,1423.22998,
29-8-2015T13-24-11,25.469999,27.269279,1421.310059,
29-8-2015T13-24-12,25.469999,27.204342,1421.310059,
29-8-2015T13-24-13,25.469999,27.151268,1424.98999,
29-8-2015T13-24-14,25.469999,27.11731,1424.98999,
29-8-2015T13-24-15,25.469999,27.14505,1424.699951,
29-8-2015T13-24-16,25.469999,27.170015,1424.699951,
29-8-2015T13-24-17,25.469999,27.192484,1430.280029,
29-8-2015T13-24-18,25.469999,27.212706,1430.280029,
29-8-2015T13-24-19,25.469999,27.182575,1430.189941,
29-8-2015T13-24-20,25.469999,27.185377,1430.189941,
29-8-2015T13-24-21,25.469999,27.144939,1429.719971,
29-8-2015T13-24-22,25.469999,27.108545,1429.719971,
29-8-2015T13-24-23,25.469999,27.07579,1430.380005,
29-8-2015T13-24-24,25.469999,27.04631,1430.380005,
29-8-2015T13-24-25,25.469999,27.055834,1432.189941,
29-8-2015T13-24-26,25.469999,27.000732,1432.189941,
29-8-2015T13-24-27,25.469999,26.981829,1432.390015,
29-8-2015T13-24-28,25.469999,26.964815,1432.390015,
29-8-2015T13-24-29,25.469999,26.949503,1431.089966,
29-8-2015T13-24-30,25.469999,26.935722,1431.089966,
29-8-2015T13-24-31,25.469999,26.979319,1430.790039,
29-8-2015T13-24-32,25.469999,26.983267,1430.790039,
29-8-2015T13-24-33,25.469999,26.988354,1431.209961,
29-8-2015T13-24-34,25.469999,26.992935,1433.359985,
29-8-2015T13-24-35,25.469999,26.997055,1433.359985,
29-8-2015T13-24-36,25.469999,27.000763,1431.599976,
29-8-2015T13-24-37,25.469999,26.904373,1431.599976,
29-8-2015T13-24-38,25.469999,26.921188,1430.369995,
29-8-2015T13-24-39,25.469999,26.975445,1430.369995,
29-8-2015T13-24-40,25.469999,27.024275,1424.790039,
29-8-2015T13-24-41,25.469999,27.068222,1424.790039,
29-8-2015T13-24-42,25.469999,27.107775,1425.640015,
29-8-2015T13-24-43,25.469999,27.111919,1425.640015,
29-8-2015T13-24-44,25.469999,27.118717,1425.219971,
29-8-2015T13-24-45,25.469999,27.094917,1425.219971,
29-8-2015T13-24-46,25.469999,27.073498,1425.98999,
29-8-2015T13-24-47,25.469999,27.05422,1425.98999,
29-8-2015T13-24-48,25.469999,27.036869,1424.22998,
29-8-2015T13-24-49,25.469999,27.103338,1424.22998,
29-8-2015T13-24-50,25.469999,27.213024,1424.140015,
29-8-2015T13-24-51,25.469999,27.294098,1424.140015,
29-8-2015T13-24-52,25.469999,27.367065,1424.060059,
29-8-2015T13-24-53,25.469999,27.432735,1424.060059,
29-8-2015T13-24-54,25.469999,27.491838,1424.52002,
29-8-2015T13-24-55,25.469999,27.476757,1424.52002,
29-8-2015T13-24-56,25.469999,27.349644,1424.949951,
29-8-2015T13-24-57,25.469999,27.286642,1424.949951,
29-8-2015T13-24-58,25.469999,27.22994,1424.709961,
29-8-2015T13-24-59,25.469999,27.178909,1424.709961,
29-8-2015T13-25-00,25.469999,27.13298,1426.540039,
29-8-2015T13-25-01,25.469999,27.041014,1426.540039,
29-8-2015T13-25-02,25.469999,27.05337,1420.76001,
29-8-2015T13-25-03,25.469999,26.996981,1420.76001,
29-8-2015T13-25-04,25.469999,26.94623,1422.060059,
29-8-2015T13-25-05,25.469999,26.900555,1422.060059,
29-8-2015T13-25-06,25.469999,26.859447,1428.079956,
29-8-2015T13-25-07,25.469999,26.928316,1428.079956,
29-8-2015T13-25-08,25.469999,26.945803,1426.569946,
29-8-2015T13-25-09,25.469999,26.975351,1426.569946,
29-8-2015T13-25-10,25.469999,27.001944,1422.369995,
29-8-2015T13-25-11,25.469999,27.025877,1422.369995,
29-8-2015T13-25-12,25.469999,27.047417,1423.22998,
29-8-2015T13-25-13,25.469999,27.023844,1423.22998,
29-8-2015T13-25-14,25.469999,26.963503,1416.920044,
29-8-2015T13-25-15,25.469999,27.049585,1416.920044,
29-8-2015T13-25-16,25.469999,27.127058,1416.98999,
29-8-2015T13-25-17,25.469999,27.196785,1416.98999,
29-8-2015T13-25-18,25.469999,27.259539,1413.329956,
29-8-2015T13-25-19,25.469999,27.301441,1413.329956,
29-8-2015T13-25-20,25.469999,27.293123,1416.410034,
29-8-2015T13-25-21,25.469999,27.184374,1416.410034,
29-8-2015T13-25-22,25.469999,27.0865,1416.060059,
29-8-2015T13-25-23,25.469999,26.998413,1416.060059,
29-8-2015T13-25-24,25.469999,26.919134,1418.849976,
29-8-2015T13-25-25,25.469999,26.873867,1418.849976,
29-8-2015T13-25-26,25.469999,26.945129,1418.839966,
29-8-2015T13-25-27,25.469999,27.038418,1418.839966,
29-8-2015T13-25-28,25.469999,27.122377,1420.02002,
